DATE;TIME;GHI
01/01/2023;00:00;0
01/01/2023;00:15;0
01/01/2023;00:30;0
01/01/2023;00:45;0
01/01/2023;01:00;0
01/01/2023;01:15;0
01/01/2023;01:30;0
01/01/2023;01:45;0
01/01/2023;02:00;0
01/01/2023;02:15;0
01/01/2023;02:30;0
01/01/2023;02:45;0
01/01/2023;03:00;0
01/01/2023;03:15;0
01/01/2023;03:30;0
01/01/2023;03:45;0
01/01/2023;04:00;0
01/01/2023;04:15;0
01/01/2023;04:30;0
01/01/2023;04:45;0
01/01/2023;05:00;0
01/01/2023;05:15;0
01/01/2023;05:30;0
01/01/2023;05:45;0
01/01/2023;06:00;0
01/01/2023;06:15;0
01/01/2023;06:30;0
01/01/2023;06:45;0
01/01/2023;07:00;0
01/01/2023;07:15;0
01/01/2023;07:30;0
01/01/2023;07:45;0
01/01/2023;08:00;0
01/01/2023;08:15;0.0024
01/01/2023;08:30;0.0092
01/01/2023;08:45;0.0262
01/01/2023;09:00;0.067
01/01/2023;09:15;0.0986
01/01/2023;09:30;0.1291
01/01/2023;09:45;0.1582
01/01/2023;10:00;0.1887
01/01/2023;10:15;0.2211
01/01/2023;10:30;0.2503
01/01/2023;10:45;0.278
01/01/2023;11:00;0.3021
01/01/2023;11:15;0.3225
01/01/2023;11:30;0.3345
01/01/2023;11:45;0.3586
01/01/2023;12:00;0.3668
01/01/2023;12:15;0.3746
01/01/2023;12:30;0.3804
01/01/2023;12:45;0.383
01/01/2023;13:00;0.3818
01/01/2023;13:15;0.3739
01/01/2023;13:30;0.3625
01/01/2023;13:45;0.3519
01/01/2023;14:00;0.3349
01/01/2023;14:15;0.316
01/01/2023;14:30;0.2961
01/01/2023;14:45;0.272
01/01/2023;15:00;0.2439
01/01/2023;15:15;0.2155
01/01/2023;15:30;0.1864
01/01/2023;15:45;0.1564
01/01/2023;16:00;0.1251
01/01/2023;16:15;0.0931
01/01/2023;16:30;0.0633
01/01/2023;16:45;0.0292
01/01/2023;17:00;0.0051
01/01/2023;17:15;0.0002
01/01/2023;17:30;0
01/01/2023;17:45;0
01/01/2023;18:00;0
01/01/2023;18:15;0
01/01/2023;18:30;0
01/01/2023;18:45;0
01/01/2023;19:00;0
01/01/2023;19:15;0
01/01/2023;19:30;0
01/01/2023;19:45;0
01/01/2023;20:00;0
01/01/2023;20:15;0
01/01/2023;20:30;0
01/01/2023;20:45;0
01/01/2023;21:00;0
01/01/2023;21:15;0
01/01/2023;21:30;0
01/01/2023;21:45;0
01/01/2023;22:00;0
01/01/2023;22:15;0
01/01/2023;22:30;0
01/01/2023;22:45;0
01/01/2023;23:00;0
01/01/2023;23:15;0
01/01/2023;23:30;0
01/01/2023;23:45;0
